"","Usage","Month","value"
"121","Housing_and_utilities","X2007.8",2207773
"122","Health_care","X2007.8",1768316
"123","Transportation_services","X2007.8",375681
"124","Recreation_services","X2007.8",460306
"125","Food_services_and_accommodations","X2007.8",770226
"126","Financial_services_and_insurance","X2007.8",1015827
"127","Motor_vehicles_and_parts","X2007.9",439732
"128","Furnishings_and_durable_household_equipment","X2007.9",230481
"129","Recreational_goods_and_vehicles","X2007.9",206585
"130","Other_durable_goods","X2007.9",154589
"131","Food_and_beverages_purchased_for_off-premises_consumption","X2007.9",866990
"132","Clothing_and_footwear","X2007.9",335840
"133","Gasoline_and_other_energy_goods","X2007.9",311508
"134","Other_nondurable_goods","X2007.9",905389
"135","Housing_and_utilities","X2007.9",2197584
"136","Health_care","X2007.9",1767144
"137","Transportation_services","X2007.9",376062
"138","Recreation_services","X2007.9",462683
"139","Food_services_and_accommodations","X2007.9",775489
"140","Financial_services_and_insurance","X2007.9",1020487
"141","Motor_vehicles_and_parts","X2007.10",422432
"142","Furnishings_and_durable_household_equipment","X2007.10",231713
"143","Recreational_goods_and_vehicles","X2007.10",208723
"144","Other_durable_goods","X2007.10",156124
"145","Food_and_beverages_purchased_for_off-premises_consumption","X2007.10",871375
"146","Clothing_and_footwear","X2007.10",338280
"147","Gasoline_and_other_energy_goods","X2007.10",310823
"148","Other_nondurable_goods","X2007.10",911841
"149","Housing_and_utilities","X2007.10",2220653
"150","Health_care","X2007.10",1769547
"151","Transportation_services","X2007.10",373723
"152","Recreation_services","X2007.10",459023
"153","Food_services_and_accommodations","X2007.10",774314
"154","Financial_services_and_insurance","X2007.10",1024376
"155","Motor_vehicles_and_parts","X2007.11",413594
"156","Furnishings_and_durable_household_equipment","X2007.11",230142
"157","Recreational_goods_and_vehicles","X2007.11",207810
"158","Other_durable_goods","X2007.11",153924
"159","Food_and_beverages_purchased_for_off-premises_consumption","X2007.11",876486
"160","Clothing_and_footwear","X2007.11",334629
"161","Gasoline_and_other_energy_goods","X2007.11",316642
"162","Other_nondurable_goods","X2007.11",903496
"163","Housing_and_utilities","X2007.11",2216934
"164","Health_care","X2007.11",1775515
"165","Transportation_services","X2007.11",368957
"166","Recreation_services","X2007.11",465402
"167","Food_services_and_accommodations","X2007.11",783828
"168","Financial_services_and_insurance","X2007.11",1020532
"169","Motor_vehicles_and_parts","X2008",409444
"170","Furnishings_and_durable_household_equipment","X2008",228258
"171","Recreational_goods_and_vehicles","X2008",204376
"172","Other_durable_goods","X2008",153452
"173","Food_and_beverages_purchased_for_off-premises_consumption","X2008",869840
"174","Clothing_and_footwear","X2008",334226
"175","Gasoline_and_other_energy_goods","X2008",308917
"176","Other_nondurable_goods","X2008",905523
"177","Housing_and_utilities","X2008",2231146
"178","Health_care","X2008",1784732
"179","Transportation_services","X2008",376395
"180","Recreation_services","X2008",462251
"181","Food_services_and_accommodations","X2008",772940
"182","Financial_services_and_insurance","X2008",1029173
"183","Motor_vehicles_and_parts","X2008.1",402058
"184","Furnishings_and_durable_household_equipment","X2008.1",223555
"185","Recreational_goods_and_vehicles","X2008.1",203756
"186","Other_durable_goods","X2008.1",149382
"187","Food_and_beverages_purchased_for_off-premises_consumption","X2008.1",864066
"188","Clothing_and_footwear","X2008.1",333183
"189","Gasoline_and_other_energy_goods","X2008.1",299442
"190","Other_nondurable_goods","X2008.1",900821
"191","Housing_and_utilities","X2008.1",2252617
"192","Health_care","X2008.1",1789373
"193","Transportation_services","X2008.1",368432
"194","Recreation_services","X2008.1",460955
"195","Food_services_and_accommodations","X2008.1",761271
"196","Financial_services_and_insurance","X2008.1",1027182
"197","Motor_vehicles_and_parts","X2008.2",396446
"198","Furnishings_and_durable_household_equipment","X2008.2",222440
"199","Recreational_goods_and_vehicles","X2008.2",204289
"200","Other_durable_goods","X2008.2",150591
"201","Food_and_beverages_purchased_for_off-premises_consumption","X2008.2",866712
"202","Clothing_and_footwear","X2008.2",333766
"203","Gasoline_and_other_energy_goods","X2008.2",313835
"204","Other_nondurable_goods","X2008.2",899282
"205","Housing_and_utilities","X2008.2",2251448
"206","Health_care","X2008.2",1792820
"207","Transportation_services","X2008.2",365276
"208","Recreation_services","X2008.2",460264
"209","Food_services_and_accommodations","X2008.2",766265
"210","Financial_services_and_insurance","X2008.2",1030399
"211","Motor_vehicles_and_parts","X2008.3",390158
"212","Furnishings_and_durable_household_equipment","X2008.3",224747
"213","Recreational_goods_and_vehicles","X2008.3",207260
"214","Other_durable_goods","X2008.3",149044
"215","Food_and_beverages_purchased_for_off-premises_consumption","X2008.3",865160
"216","Clothing_and_footwear","X2008.3",338734
"217","Gasoline_and_other_energy_goods","X2008.3",306438
"218","Other_nondurable_goods","X2008.3",904844
"219","Housing_and_utilities","X2008.3",2252395
"220","Health_care","X2008.3",1792296
"221","Transportation_services","X2008.3",365833
"222","Recreation_services","X2008.3",462379
"223","Food_services_and_accommodations","X2008.3",769980
"224","Financial_services_and_insurance","X2008.3",1036919
"225","Motor_vehicles_and_parts","X2008.4",389030
"226","Furnishings_and_durable_household_equipment","X2008.4",224591
"227","Recreational_goods_and_vehicles","X2008.4",211962
"228","Other_durable_goods","X2008.4",149941
"229","Food_and_beverages_purchased_for_off-premises_consumption","X2008.4",866047
"230","Clothing_and_footwear","X2008.4",341382
"231","Gasoline_and_other_energy_goods","X2008.4",302481
"232","Other_nondurable_goods","X2008.4",910261
"233","Housing_and_utilities","X2008.4",2256043
"234","Health_care","X2008.4",1794328
"235","Transportation_services","X2008.4",365742
"236","Recreation_services","X2008.4",464031
"237","Food_services_and_accommodations","X2008.4",772486
"238","Financial_services_and_insurance","X2008.4",1040018
"239","Motor_vehicles_and_parts","X2008.5",383284
"240","Furnishings_and_durable_household_equipment","X2008.5",222907
"241","Recreational_goods_and_vehicles","X2008.5",208889
"242","Other_durable_goods","X2008.5",149641
"243","Food_and_beverages_purchased_for_off-premises_consumption","X2008.5",862751
"244","Clothing_and_footwear","X2008.5",342994
"245","Gasoline_and_other_energy_goods","X2008.5",298968
"246","Other_nondurable_goods","X2008.5",906289
"247","Housing_and_utilities","X2008.5",2261479
"248","Health_care","X2008.5",1795336
"249","Transportation_services","X2008.5",364724
"250","Recreation_services","X2008.5",465338
"251","Food_services_and_accommodations","X2008.5",771069
"252","Financial_services_and_insurance","X2008.5",1038136
"253","Motor_vehicles_and_parts","X2008.6",352659
"254","Furnishings_and_durable_household_equipment","X2008.6",220480
"255","Recreational_goods_and_vehicles","X2008.6",209059
"256","Other_durable_goods","X2008.6",149865
"257","Food_and_beverages_purchased_for_off-premises_consumption","X2008.6",856124
"258","Clothing_and_footwear","X2008.6",340205
"259","Gasoline_and_other_energy_goods","X2008.6",294464
"260","Other_nondurable_goods","X2008.6",911149
"261","Housing_and_utilities","X2008.6",2255139
"262","Health_care","X2008.6",1797197
"263","Transportation_services","X2008.6",362692
"264","Recreation_services","X2008.6",464131
"265","Food_services_and_accommodations","X2008.6",766938
"266","Financial_services_and_insurance","X2008.6",1039344
"267","Motor_vehicles_and_parts","X2008.7",381518
"268","Furnishings_and_durable_household_equipment","X2008.7",215958
"269","Recreational_goods_and_vehicles","X2008.7",207024
"270","Other_durable_goods","X2008.7",148827
"271","Food_and_beverages_purchased_for_off-premises_consumption","X2008.7",852478
"272","Clothing_and_footwear","X2008.7",335692
"273","Gasoline_and_other_energy_goods","X2008.7",297941
"274","Other_nondurable_goods","X2008.7",907079
"275","Housing_and_utilities","X2008.7",2244024
"276","Health_care","X2008.7",1799309
"277","Transportation_services","X2008.7",361158
"278","Recreation_services","X2008.7",459386
"279","Food_services_and_accommodations","X2008.7",767670
"280","Financial_services_and_insurance","X2008.7",1034316
"281","Motor_vehicles_and_parts","X2008.8",367849
"282","Furnishings_and_durable_household_equipment","X2008.8",208461
"283","Recreational_goods_and_vehicles","X2008.8",200397
"284","Other_durable_goods","X2008.8",143664
"285","Food_and_beverages_purchased_for_off-premises_consumption","X2008.8",842633
"286","Clothing_and_footwear","X2008.8",322691
"287","Gasoline_and_other_energy_goods","X2008.8",289877
"288","Other_nondurable_goods","X2008.8",898849
"289","Housing_and_utilities","X2008.8",2256368
"290","Health_care","X2008.8",1803527
"291","Transportation_services","X2008.8",353871
"292","Recreation_services","X2008.8",455553
"293","Food_services_and_accommodations","X2008.8",761967
"294","Financial_services_and_insurance","X2008.8",1050257
"295","Motor_vehicles_and_parts","X2008.9",330985
"296","Furnishings_and_durable_household_equipment","X2008.9",206315
"297","Recreational_goods_and_vehicles","X2008.9",195463
"298","Other_durable_goods","X2008.9",142527
"299","Food_and_beverages_purchased_for_off-premises_consumption","X2008.9",839479
"300","Clothing_and_footwear","X2008.9",320649
"301","Gasoline_and_other_energy_goods","X2008.9",305300
"302","Other_nondurable_goods","X2008.9",896337
"303","Housing_and_utilities","X2008.9",2264761
"304","Health_care","X2008.9",1802080
"305","Transportation_services","X2008.9",349596
"306","Recreation_services","X2008.9",455913
"307","Food_services_and_accommodations","X2008.9",759446
"308","Financial_services_and_insurance","X2008.9",1059189
"309","Motor_vehicles_and_parts","X2008.10",317015
"310","Furnishings_and_durable_household_equipment","X2008.10",203530
"311","Recreational_goods_and_vehicles","X2008.10",193657
"312","Other_durable_goods","X2008.10",141190
"313","Food_and_beverages_purchased_for_off-premises_consumption","X2008.10",839807
"314","Clothing_and_footwear","X2008.10",323533
"315","Gasoline_and_other_energy_goods","X2008.10",304689
"316","Other_nondurable_goods","X2008.10",894641
"317","Housing_and_utilities","X2008.10",2273878
"318","Health_care","X2008.10",1804225
"319","Transportation_services","X2008.10",343684
"320","Recreation_services","X2008.10",455872
"321","Food_services_and_accommodations","X2008.10",755629
"322","Financial_services_and_insurance","X2008.10",1040605
"323","Motor_vehicles_and_parts","X2008.11",324488
"324","Furnishings_and_durable_household_equipment","X2008.11",201579
"325","Recreational_goods_and_vehicles","X2008.11",191041
"326","Other_durable_goods","X2008.11",137547
"327","Food_and_beverages_purchased_for_off-premises_consumption","X2008.11",835741
"328","Clothing_and_footwear","X2008.11",320505
"329","Gasoline_and_other_energy_goods","X2008.11",298434
"330","Other_nondurable_goods","X2008.11",889571
"331","Housing_and_utilities","X2008.11",2269081
"332","Health_care","X2008.11",1808506
"333","Transportation_services","X2008.11",346842
"334","Recreation_services","X2008.11",454763
"335","Food_services_and_accommodations","X2008.11",753011
"336","Financial_services_and_insurance","X2008.11",1033195
"337","Motor_vehicles_and_parts","X2009",339509
"338","Furnishings_and_durable_household_equipment","X2009",201325
"339","Recreational_goods_and_vehicles","X2009",198037
"340","Other_durable_goods","X2009",141436
"341","Food_and_beverages_purchased_for_off-premises_consumption","X2009",845414
"342","Clothing_and_footwear","X2009",324824
"343","Gasoline_and_other_energy_goods","X2009",301725
"344","Other_nondurable_goods","X2009",891402
"345","Housing_and_utilities","X2009",2267999
"346","Health_care","X2009",1812465
"347","Transportation_services","X2009",342155
"348","Recreation_services","X2009",459198
"349","Food_services_and_accommodations","X2009",749233
"350","Financial_services_and_insurance","X2009",1038265
"351","Motor_vehicles_and_parts","X2009.1",327331
"352","Furnishings_and_durable_household_equipment","X2009.1",199027
"353","Recreational_goods_and_vehicles","X2009.1",195959
"354","Other_durable_goods","X2009.1",141629
"355","Food_and_beverages_purchased_for_off-premises_consumption","X2009.1",838686
"356","Clothing_and_footwear","X2009.1",320955
"357","Gasoline_and_other_energy_goods","X2009.1",309011
"358","Other_nondurable_goods","X2009.1",894848
"359","Housing_and_utilities","X2009.1",2247929
"360","Health_care","X2009.1",1818375
"361","Transportation_services","X2009.1",338771
"362","Recreation_services","X2009.1",456017
"363","Food_services_and_accommodations","X2009.1",745987
"364","Financial_services_and_insurance","X2009.1",1043055
"365","Motor_vehicles_and_parts","X2009.2",329299
"366","Furnishings_and_durable_household_equipment","X2009.2",193419
"367","Recreational_goods_and_vehicles","X2009.2",189948
"368","Other_durable_goods","X2009.2",137495
"369","Food_and_beverages_purchased_for_off-premises_consumption","X2009.2",840093
"370","Clothing_and_footwear","X2009.2",308031
"371","Gasoline_and_other_energy_goods","X2009.2",304998
"372","Other_nondurable_goods","X2009.2",886395
"373","Housing_and_utilities","X2009.2",2267144
"374","Health_care","X2009.2",1822879
"375","Transportation_services","X2009.2",334247
"376","Recreation_services","X2009.2",450168
"377","Food_services_and_accommodations","X2009.2",735849
"378","Financial_services_and_insurance","X2009.2",1046952
"379","Motor_vehicles_and_parts","X2009.3",320362
"380","Furnishings_and_durable_household_equipment","X2009.3",193684
"381","Recreational_goods_and_vehicles","X2009.3",189532
"382","Other_durable_goods","X2009.3",139789
"383","Food_and_beverages_purchased_for_off-premises_consumption","X2009.3",844344
"384","Clothing_and_footwear","X2009.3",311675
"385","Gasoline_and_other_energy_goods","X2009.3",304022
"386","Other_nondurable_goods","X2009.3",883589
"387","Housing_and_utilities","X2009.3",2256669
"388","Health_care","X2009.3",1832049
"389","Transportation_services","X2009.3",333892
"390","Recreation_services","X2009.3",452802
"391","Food_services_and_accommodations","X2009.3",739274
"392","Financial_services_and_insurance","X2009.3",1040562
"393","Motor_vehicles_and_parts","X2009.4",338713
"394","Furnishings_and_durable_household_equipment","X2009.4",194806
"395","Recreational_goods_and_vehicles","X2009.4",190614
"396","Other_durable_goods","X2009.4",141281
"397","Food_and_beverages_purchased_for_off-premises_consumption","X2009.4",849524
"398","Clothing_and_footwear","X2009.4",315087
"399","Gasoline_and_other_energy_goods","X2009.4",303553
"400","Other_nondurable_goods","X2009.4",879082
"401","Housing_and_utilities","X2009.4",2251967
"402","Health_care","X2009.4",1837881
"403","Transportation_services","X2009.4",332585
"404","Recreation_services","X2009.4",450421
"405","Food_services_and_accommodations","X2009.4",738845
"406","Financial_services_and_insurance","X2009.4",1037421
"407","Motor_vehicles_and_parts","X2009.5",344628
"408","Furnishings_and_durable_household_equipment","X2009.5",193899
"409","Recreational_goods_and_vehicles","X2009.5",192329
"410","Other_durable_goods","X2009.5",142115
"411","Food_and_beverages_purchased_for_off-premises_consumption","X2009.5",846385
"412","Clothing_and_footwear","X2009.5",310049
"413","Gasoline_and_other_energy_goods","X2009.5",302858
"414","Other_nondurable_goods","X2009.5",874116
"415","Housing_and_utilities","X2009.5",2253340
"416","Health_care","X2009.5",1844102
"417","Transportation_services","X2009.5",332282
"418","Recreation_services","X2009.5",450331
"419","Food_services_and_accommodations","X2009.5",736821
"420","Financial_services_and_insurance","X2009.5",1034647
"421","Motor_vehicles_and_parts","X2009.6",362748
"422","Furnishings_and_durable_household_equipment","X2009.6",194426
"423","Recreational_goods_and_vehicles","X2009.6",194175
"424","Other_durable_goods","X2009.6",141348
"425","Food_and_beverages_purchased_for_off-premises_consumption","X2009.6",849507
"426","Clothing_and_footwear","X2009.6",314198
"427","Gasoline_and_other_energy_goods","X2009.6",302972
"428","Other_nondurable_goods","X2009.6",877420
"429","Housing_and_utilities","X2009.6",2247204
"430","Health_care","X2009.6",1849293
"431","Transportation_services","X2009.6",334592
"432","Recreation_services","X2009.6",452333
"433","Food_services_and_accommodations","X2009.6",739898
"434","Financial_services_and_insurance","X2009.6",1026720
"435","Motor_vehicles_and_parts","X2009.7",430874
"436","Furnishings_and_durable_household_equipment","X2009.7",196839
"437","Recreational_goods_and_vehicles","X2009.7",196663
"438","Other_durable_goods","X2009.7",144028
"439","Food_and_beverages_purchased_for_off-premises_consumption","X2009.7",849591
"440","Clothing_and_footwear","X2009.7",316976
"441","Gasoline_and_other_energy_goods","X2009.7",303933
"442","Other_nondurable_goods","X2009.7",878268
"443","Housing_and_utilities","X2009.7",2261932
"444","Health_care","X2009.7",1847816
"445","Transportation_services","X2009.7",332521
"446","Recreation_services","X2009.7",454033
"447","Food_services_and_accommodations","X2009.7",739245
"448","Financial_services_and_insurance","X2009.7",1022744
"449","Motor_vehicles_and_parts","X2009.8",323919
"450","Furnishings_and_durable_household_equipment","X2009.8",196162
"451","Recreational_goods_and_vehicles","X2009.8",199355
"452","Other_durable_goods","X2009.8",143704
"453","Food_and_beverages_purchased_for_off-premises_consumption","X2009.8",856498
"454","Clothing_and_footwear","X2009.8",314385
"455","Gasoline_and_other_energy_goods","X2009.8",300412
"456","Other_nondurable_goods","X2009.8",882276
"457","Housing_and_utilities","X2009.8",2265199
"458","Health_care","X2009.8",1850812
"459","Transportation_services","X2009.8",332239
"460","Recreation_services","X2009.8",455902
"461","Food_services_and_accommodations","X2009.8",734239
"462","Financial_services_and_insurance","X2009.8",1019516
"463","Motor_vehicles_and_parts","X2009.9",333650
"464","Furnishings_and_durable_household_equipment","X2009.9",196425
"465","Recreational_goods_and_vehicles","X2009.9",197460
"466","Other_durable_goods","X2009.9",142257
"467","Food_and_beverages_purchased_for_off-premises_consumption","X2009.9",856929
"468","Clothing_and_footwear","X2009.9",318592
"469","Gasoline_and_other_energy_goods","X2009.9",304562
"470","Other_nondurable_goods","X2009.9",880917
"471","Housing_and_utilities","X2009.9",2279051
"472","Health_care","X2009.9",1843658
"473","Transportation_services","X2009.9",333416
"474","Recreation_services","X2009.9",454523
"475","Food_services_and_accommodations","X2009.9",733337
"476","Financial_services_and_insurance","X2009.9",1010971
"477","Motor_vehicles_and_parts","X2009.10",338699
"478","Furnishings_and_durable_household_equipment","X2009.10",197313
"479","Recreational_goods_and_vehicles","X2009.10",201568
"480","Other_durable_goods","X2009.10",143528
"481","Food_and_beverages_purchased_for_off-premises_consumption","X2009.10",853430
"482","Clothing_and_footwear","X2009.10",316514
"483","Gasoline_and_other_energy_goods","X2009.10",301690
"484","Other_nondurable_goods","X2009.10",877146
"485","Housing_and_utilities","X2009.10",2257423
"486","Health_care","X2009.10",1840647
"487","Transportation_services","X2009.10",333287
"488","Recreation_services","X2009.10",457028
"489","Food_services_and_accommodations","X2009.10",737702
"490","Financial_services_and_insurance","X2009.10",1006564
"491","Motor_vehicles_and_parts","X2009.11",340872
"492","Furnishings_and_durable_household_equipment","X2009.11",197950
"493","Recreational_goods_and_vehicles","X2009.11",203139
"494","Other_durable_goods","X2009.11",144731
"495","Food_and_beverages_purchased_for_off-premises_consumption","X2009.11",860645
"496","Clothing_and_footwear","X2009.11",315586
"497","Gasoline_and_other_energy_goods","X2009.11",302560
"498","Other_nondurable_goods","X2009.11",880412
"499","Housing_and_utilities","X2009.11",2300690
"500","Health_care","X2009.11",1837024
"501","Transportation_services","X2009.11",336193
"502","Recreation_services","X2009.11",456747
"503","Food_services_and_accommodations","X2009.11",739536
"504","Financial_services_and_insurance","X2009.11",1008917
"505","Motor_vehicles_and_parts","X2010",323016
"506","Furnishings_and_durable_household_equipment","X2010",199261
"507","Recreational_goods_and_vehicles","X2010",202990
"508","Other_durable_goods","X2010",146159
"509","Food_and_beverages_purchased_for_off-premises_consumption","X2010",856170
"510","Clothing_and_footwear","X2010",322166
"511","Gasoline_and_other_energy_goods","X2010",301500
"512","Other_nondurable_goods","X2010",881742
"513","Housing_and_utilities","X2010",2295675
"514","Health_care","X2010",1836583
"515","Transportation_services","X2010",337201
"516","Recreation_services","X2010",456746
"517","Food_services_and_accommodations","X2010",738046
"518","Financial_services_and_insurance","X2010",1012597
"519","Motor_vehicles_and_parts","X2010.1",318679
"520","Furnishings_and_durable_household_equipment","X2010.1",201771
"521","Recreational_goods_and_vehicles","X2010.1",204704
"522","Other_durable_goods","X2010.1",147369
"523","Food_and_beverages_purchased_for_off-premises_consumption","X2010.1",871116
"524","Clothing_and_footwear","X2010.1",322110
"525","Gasoline_and_other_energy_goods","X2010.1",297456
"526","Other_nondurable_goods","X2010.1",882812
"527","Housing_and_utilities","X2010.1",2302732
"528","Health_care","X2010.1",1836993
"529","Transportation_services","X2010.1",333185
"530","Recreation_services","X2010.1",460296
"531","Food_services_and_accommodations","X2010.1",749225
"532","Financial_services_and_insurance","X2010.1",1017192
"533","Motor_vehicles_and_parts","X2010.2",361388
"534","Furnishings_and_durable_household_equipment","X2010.2",206218
"535","Recreational_goods_and_vehicles","X2010.2",205599
"536","Other_durable_goods","X2010.2",147882
"537","Food_and_beverages_purchased_for_off-premises_consumption","X2010.2",860998
"538","Clothing_and_footwear","X2010.2",328258
"539","Gasoline_and_other_energy_goods","X2010.2",297152
"540","Other_nondurable_goods","X2010.2",887433
"541","Housing_and_utilities","X2010.2",2289575
"542","Health_care","X2010.2",1840852
"543","Transportation_services","X2010.2",335476
"544","Recreation_services","X2010.2",464030
"545","Food_services_and_accommodations","X2010.2",751259
"546","Financial_services_and_insurance","X2010.2",1017568
"547","Motor_vehicles_and_parts","X2010.3",353460
"548","Furnishings_and_durable_household_equipment","X2010.3",208153
"549","Recreational_goods_and_vehicles","X2010.3",207721
"550","Other_durable_goods","X2010.3",148163
"551","Food_and_beverages_purchased_for_off-premises_consumption","X2010.3",861274
"552","Clothing_and_footwear","X2010.3",330467
"553","Gasoline_and_other_energy_goods","X2010.3",302190
"554","Other_nondurable_goods","X2010.3",891332
"555","Housing_and_utilities","X2010.3",2287408
"556","Health_care","X2010.3",1845777
"557","Transportation_services","X2010.3",333454
"558","Recreation_services","X2010.3",467588
"559","Food_services_and_accommodations","X2010.3",755290
"560","Financial_services_and_insurance","X2010.3",1023797
"561","Motor_vehicles_and_parts","X2010.4",354672
"562","Furnishings_and_durable_household_equipment","X2010.4",206739
"563","Recreational_goods_and_vehicles","X2010.4",208124
"564","Other_durable_goods","X2010.4",146777
"565","Food_and_beverages_purchased_for_off-premises_consumption","X2010.4",858818
"566","Clothing_and_footwear","X2010.4",328130
"567","Gasoline_and_other_energy_goods","X2010.4",301183
"568","Other_nondurable_goods","X2010.4",887375
"569","Housing_and_utilities","X2010.4",2313451
"570","Health_care","X2010.4",1854172
"571","Transportation_services","X2010.4",331814
"572","Recreation_services","X2010.4",466598
"573","Food_services_and_accommodations","X2010.4",754793
"574","Financial_services_and_insurance","X2010.4",1028824
"575","Motor_vehicles_and_parts","X2010.5",354512
"576","Furnishings_and_durable_household_equipment","X2010.5",206952
"577","Recreational_goods_and_vehicles","X2010.5",212114
"578","Other_durable_goods","X2010.5",146957
